"callsign","Counter","time","Latitude","Longitude","Altitude","HorizontalSpeed","Heading","Satellites","Temperature","BatteryVoltage","BatteryCurrent","gyro_x","gyro_y","gyro_z","accel_z","infrared","Temp.","timestamp"
"$CST","1752","18:27:38","52.20202","0.11685","00011","0","0","12","30.4","5.3","0.001","0.5312","-0.5156","0.4062","10.31","356.0","22.4","1572719249.105*25B3"
"$CST","1753","18:27:52","52.20201","0.11685","00006","0","0","12","30.4","5.3","0.001","0.5469","-0.3047","0.6562","10.32","356.0","22.4","1572719269.426*A9B2"
"$CST","1754","18:28:06","52.20200","0.11683","00005","0","0","12","30.4","5.3","0.001","0.6484","0.0234","0.6172","10.32","356.0","22.3","1572719279.556*742C"
"$CST","1755","18:28:20","52.20200","0.11683","00002","0","0","11","30.4","5.3","0.001","0.6797","-0.2578","0.7969","10.31","356.0","22.3","1572719299.864*62A9"
"$CST","1756","18:28:34","52.20200","0.11683","00000","0","0","10","30.5","5.3","0.001","0.9375","-0.3828","0.7266","10.36","356.0","22.4","1572719310.002*F50E"
"$CST","1757","18:28:48","52.20202","0.11684","-00003","0","0","10","30.4","5.3","0.001","0.6094","-0.1406","0.6875","10.3","356.0","22.4","1572719320.142*2B02"
"$CST","1758","18:29:02","52.20205","0.11684","-00001","0","0","10","30.4","5.3","0.001","0.6797","-0.4531","0.4062","10.31","356.0","22.4","1572719340.452*D747"
"$CST","1759","18:29:16","52.20206","0.11683","00001","0","0","11","30.5","5.3","0.001","0.4609","-0.3828","0.6094","10.32","356.0","22.4","1572719350.614*E679"
"$CST","1760","18:29:30","52.20208","0.11681","00005","0","0","10","30.5","5.3","0.001","0.4375","-0.1016","0.4062","10.31","356.0","22.4","1572719370.908*BDC6"
"$CST","1761","18:29:44","52.20208","0.11680","00007","0","0","10","30.5","5.3","0.001","0.2578","-0.3047","0.8438","10.31","356.0","22.4","1572719381.07*E5AE"
"$CST","1762","18:29:58","52.20208","0.11679","00011","0","0","11","30.4","5.3","0.001","0.5547","-0.4766","0.4531","10.3","356.0","22.3","1572719391.214*A379"
"$CST","1763","18:30:12","52.20208","0.11677","00013","0","0","11","30.5","5.3","0.001","0.6484","-0.0781","0.6875","10.31","356.0","22.4","1572719411.504*FD56"
"$CST","1764","18:30:26","52.20208","0.11677","00014","0","0","11","30.5","5.3","0.001","0.4453","0.0","0.5547","10.32","356.0","22.4","1572719421.644*9A0E"
"$CST","1765","18:30:40","52.20205","0.11677","00014","0","0","10","30.4","5.3","0.001","0.8281","-0.3047","0.7031","10.32","356.0","22.4","1572719431.806*BBD3"
"$CST","1766","18:30:54","52.20205","0.11678","00017","0","0","11","30.4","5.3","0.001","1.3047","-0.2891","0.7578","10.32","356.0","22.4","1572719452.148*8D7A"
"$CST","1767","18:31:08","52.20205","0.11679","00018","0","0","11","30.4","5.3","0.001","0.3672","-0.4766","0.7734","10.32","356.0","22.3","1572719462.347*1236"
"$CST","1768","18:31:22","52.20200","0.11682","00014","0","0","10","30.4","5.3","0.001","0.6172","0.0","0.625","10.31","356.0","22.4","1572719482.61*F88E"
"$CST","1769","18:31:35","52.20198","0.11685","00009","0","0","11","30.5","5.3","0.001","0.6094","-0.0312","0.6641","10.31","356.0","22.4","1572719492.759*ECF4"
"$CST","1770","18:31:49","52.20194","0.11688","00002","0","0","11","30.4","5.3","0.001","0.6719","0.2578","0.6719","10.32","356.0","22.3","1572719502.898*ED27"
"$iPqN?vS\eHLPC]IhnAoZvNAm|8a@;zEASldUd-M?]~n<+QHDj)"
"$CST","1771","18:32:03","52.20197","0.11688","00004","0","0","11","30.4","5.3","0.001","0.7656","0.2109","0.4375","10.33","356.0","22.4","1572719523.178*2F96"
"$CST","1772","18:32:17","52.20200","0.11686","00010","0","0","11","30.4","5.3","0.001","0.1094","-0.125","0.6875","10.3","357.0","22.4","1572719533.338*072A"
"$CST","1773","18:32:31","52.20203","0.11684","00013","0","0","11","30.4","5.3","0.001","0.6641","-0.0703","0.5938","10.33","356.0","22.4","1572719543.483*872E"
"$B:yv#(]W3!PzvUfOTlyT;T SiQGQKIGEP?*694<Td`)`Sw)@3M!p&M0L2RBi"
"$CST","1774","18:32:45","52.20203","0.11682","00016","0","0","11","30.4","5.3","0.001","0.5234","0.0391","0.5859","10.33","356.0","22.4","1572719563.794*4E81"
"$CST","1775","18:32:59","52.20205","0.11680","00017","0","0","11","30.4","5.3","0.001","0.3047","0.1562","0.8359","10.32","356.0","22.3","1572719573.931*3610"
"$CST","1776","18:33:13","52.20205","0.11680","00019","0","0","10","30.4","5.3","0.001","0.6406","-0.1406","0.6406","10.32","356.0","22.4","1572719594.185*5082"
"$CST","1777","18:33:27","52.20205","0.11680","00021","0","0","10","30.4","5.3","0.001","0.7031","0.3047","0.7578","10.32","356.0","22.4","1572719604.344*6E5B"
